feature,weight
win__cmd_frac__diff,0.31429394
win__cmd_frac__test,0.29269133
win__target_missing__mean,-0.28294791
win__repeat_cmd_score_recent__mean,-0.27628431
win__cmd_frac__other,-0.25492844
win__command_switch_ratio,-0.24687480
cur__prompt_tokens_cum,-0.24429547
win__cmd_frac__read,-0.23421790
cur__cmd__edit,0.23210665
win__output_len__mean,0.22171273
win__confidence__std,0.21684585
win__confidence__mean,0.21200534
win__context_len_cum__mean,-0.19280516
win__consecutive_same_target_ratio,-0.18224424
cur__step_idx,-0.17396178
window_len,-0.17371094
window_fill_ratio,-0.17371094
cur__target_is_abs_like,-0.15860361
cur__cmd__read,-0.15193815
cur__depth,-0.15185998
win__output_len__std,0.15140783
win__output_len__max,-0.14900531
win__prompt_tokens__mean,-0.14882599
win__step_wall_s__mean,0.14570440
win__confidence__max,0.14274958
cur__cmd__other,-0.14035046
cur__completion_tokens_cum,0.13879154
win__step_wall_s__min,0.12786146
win__cmd_frac__run,-0.12371919
win__completion_tokens__mean,0.11783458
win__prompt_tokens__std,-0.11509343
win__cmd_frac__search,-0.10866519
cur__cmd__run,-0.10145788
win__context_len_cum__std,-0.10133109
win__prompt_tokens__delta,-0.09147750
cur__prompt_tokens,-0.08919709
win__prompt_tokens__max,-0.08919709
win__prompt_tokens__last,-0.08919709
win__repeat_cmd_score_recent__std,0.08871878
win__completion_tokens__min,-0.08792961
cur__target_has_value,0.08658770
win__obs_frac__test_fail,0.07778160
win__target_missing__delta,-0.07624534
win__context_len_cum__min,-0.07380036
win__obs_frac__other_error,-0.06965940
win__cmd_frac__explore,-0.06959919
cur__target_len,-0.06866071
win__context_len_cum__delta,0.06478265
cur__target_has_test,0.06391151
cur__context_len_cum,0.05950131
win__context_len_cum__last,0.05950131
win__context_len_cum__max,0.05950131
cur__cmd__search,-0.05761950
cur__cmd__diff,0.05742734
win__returncode__delta,-0.05694825
cur__obs__other_error,-0.05561735
cur__obs__test_fail,-0.05321739
win__prompt_tokens__min,0.05250846
win__output_len__delta,0.05177771
win__returncode_nonzero__max,-0.05062830
cur__confidence,0.04876287
win__confidence__last,0.04876287
cur__target_has_py,0.04837955
cur__target_dot_count,-0.04368132
win__exception_flag__mean,0.04338038
cur__cmd__test,-0.04241560
win__target_missing__max,0.04182732
cur__target_path_depth,-0.03858210
win__exception_flag__std,0.03841603
win__repeat_cmd_score_recent__max,0.03796767
cur__obs__exception,-0.03468524
cur__obs__success,0.03404180
win__completion_tokens__max,-0.03371199
win__cmd_frac__install,0.03129203
win__returncode__min,0.03095707
win__exception_flag__max,-0.03095707
cur__obs__cmd_error,0.02766882
cur__target_symbol_like,-0.02736808
win__confidence_missing__max,0.02720524
win__confidence__delta,0.02683470
win__repeat_file_score_recent__max,0.02631930
win__completion_tokens__delta,0.02559248
win__failure_streak__std,-0.02529329
cur__cmd__explore,-0.02422801
win__obs_frac__success,0.02399729
win__returncode_nonzero__mean,-0.02399729
win__returncode__max,-0.02341024
cur__completion_tokens,0.02318208
win__completion_tokens__last,0.02318208
win__output_elided_chars__last,0.02315138
cur__output_elided_chars,0.02315138
win__output_elided_chars__delta,0.02239777
win__step_wall_s__delta,-0.02189343
win__repeat_file_score_recent__std,-0.02006119
cur__target_has_init,-0.02004477
win__step_wall_s__last,-0.01968505
cur__step_wall_s,-0.01968505
win__unique_target_ratio,-0.01916671
cur__confidence_missing,0.01741591
win__failure_streak__max,-0.01728911
win__failure_streak__delta,0.01650315
cur__repeat_file_score_recent,-0.01613920
win__repeat_file_score_recent__last,-0.01613920
win__repeat_file_score_recent__delta,-0.01613920
cur__returncode,-0.01597464
win__returncode__last,-0.01597464
win__failure_streak__mean,-0.01572044
win__confidence_missing__delta,-0.01497712
win__step_wall_s__std,-0.01276220
win__repeat_file_score_recent__mean,0.01270074
cur__obs__syntax_error,-0.01207235
win__step_wall_s__max,0.01205936
win__obs_frac__syntax_error,-0.01146117
win__completion_tokens__std,-0.01098363
win__confidence__min,0.01068800
win__exception_flag__last,0.01026353
win__exception_flag__delta,0.01026353
cur__exception_flag,0.01026353
win__obs_switch_ratio,-0.00988257
cur__failure_streak,-0.00904762
win__failure_streak__last,-0.00904762
cur__temperature,0.00850434
win__output_len__min,-0.00826501
win__returncode__std,0.00698034
win__confidence_missing__mean,0.00650932
win__obs_frac__cmd_error,-0.00612929
win__output_elided_chars__max,0.00487205
win__obs_frac__exception,-0.00391816
cur__repeat_cmd_score_recent,0.00323605
win__repeat_cmd_score_recent__last,0.00323605
win__repeat_cmd_score_recent__delta,0.00323605
win__cmd_frac__edit,0.00313129
cur__cmd__install,-0.00271932
win__output_elided_chars__std,0.00262476
win__returncode__mean,-0.00182407
cur__output_len,0.00176387
win__output_len__last,0.00176387
win__returncode_nonzero__delta,-0.00160695
win__output_elided_chars__mean,0.00120221
win__exception_flag__min,0.00000000
win__output_elided_chars__min,0.00000000
win__repeat_cmd_score_recent__min,0.00000000
win__repeat_file_score_recent__min,0.00000000
win__failure_streak__min,0.00000000
cur__cmd__unknown,0.00000000
cur__obs__unknown,0.00000000
win__cmd_frac__unknown,0.00000000
win__obs_frac__unknown,0.00000000
