feature,weight
win__cmd_frac__diff,0.32055374
win__cmd_frac__test,0.30212340
win__target_missing__mean,-0.29351894
win__repeat_cmd_score_recent__mean,-0.27383897
win__cmd_frac__read,-0.25768053
win__command_switch_ratio,-0.25651535
cur__prompt_tokens_cum,-0.24912404
win__cmd_frac__other,-0.24510056
cur__cmd__edit,0.23326369
win__consecutive_same_target_ratio,-0.21502116
win__output_len__mean,0.21355578
win__context_len_cum__mean,-0.20198034
win__output_len__max,-0.16855579
cur__step_idx,-0.16527313
window_len,-0.16495656
window_fill_ratio,-0.16495656
cur__cmd__read,-0.16493818
cur__target_is_abs_like,-0.16023844
win__prompt_tokens__mean,-0.15181500
cur__completion_tokens_cum,0.14895188
win__step_wall_s__mean,0.14688981
cur__depth,-0.13995314
cur__cmd__other,-0.13502743
win__output_len__std,0.12967887
win__step_wall_s__min,0.12592117
win__completion_tokens__mean,0.12424294
win__completion_tokens__min,-0.12097714
win__cmd_frac__search,-0.11946027
win__cmd_frac__run,-0.11149285
win__prompt_tokens__std,-0.10908573
win__context_len_cum__std,-0.09625546
win__repeat_cmd_score_recent__std,0.09598787
win__obs_frac__test_fail,0.09526826
cur__cmd__run,-0.08685758
win__prompt_tokens__delta,-0.08267845
win__context_len_cum__min,-0.08220650
cur__prompt_tokens,-0.08129225
win__prompt_tokens__last,-0.08129225
win__prompt_tokens__max,-0.08129225
cur__target_has_value,0.07738617
win__returncode__delta,-0.07681357
win__target_missing__delta,-0.07652734
cur__cmd__diff,0.07353143
win__context_len_cum__delta,0.07274385
cur__context_len_cum,0.06729115
win__context_len_cum__last,0.06729115
win__context_len_cum__max,0.06729115
win__cmd_frac__explore,-0.06675893
win__obs_frac__other_error,-0.06525994
cur__cmd__test,-0.06411736
cur__target_len,-0.05959272
cur__target_has_test,0.05946149
win__output_len__delta,0.05459024
cur__cmd__search,-0.05436337
cur__obs__other_error,-0.05417787
cur__target_has_py,0.05251004
win__completion_tokens__max,-0.05194628
cur__obs__exception,-0.04990823
cur__obs__test_fail,-0.04821199
cur__obs__success,0.04565096
cur__target_dot_count,-0.04287572
win__unique_target_ratio,-0.04221084
win__exception_flag__mean,0.03945399
win__exception_flag__std,0.03921078
cur__target_has_init,-0.03518439
cur__target_symbol_like,-0.03491046
win__target_missing__max,0.03392597
win__obs_frac__exception,-0.03300615
win__returncode_nonzero__mean,-0.03287750
win__obs_frac__success,0.03287750
win__returncode__max,-0.03092192
cur__target_path_depth,-0.02940767
win__returncode__min,0.02719599
win__exception_flag__max,-0.02719599
win__completion_tokens__std,-0.02702372
win__repeat_cmd_score_recent__max,0.02590734
win__obs_switch_ratio,-0.02476100
win__returncode_nonzero__max,-0.02275726
win__repeat_file_score_recent__max,0.02271159
cur__completion_tokens,0.02190064
win__completion_tokens__last,0.02190064
win__obs_frac__cmd_error,0.02170703
win__completion_tokens__delta,0.02121363
win__step_wall_s__delta,-0.02077297
cur__cmd__explore,-0.02033781
win__output_elided_chars__delta,0.01992498
win__failure_streak__delta,0.01914046
cur__output_elided_chars,0.01859797
win__output_elided_chars__last,0.01859797
cur__obs__syntax_error,-0.01748271
win__cmd_frac__install,0.01634151
cur__repeat_file_score_recent,-0.01627489
win__repeat_file_score_recent__last,-0.01627489
win__repeat_file_score_recent__delta,-0.01627489
win__prompt_tokens__min,0.01610886
win__repeat_file_score_recent__std,-0.01586915
win__step_wall_s__std,-0.01576062
cur__step_wall_s,-0.01555336
win__step_wall_s__last,-0.01555336
win__output_len__min,-0.01450797
win__step_wall_s__max,0.01427692
win__failure_streak__mean,-0.01173922
win__repeat_file_score_recent__mean,0.01088640
win__returncode_nonzero__delta,-0.01036508
cur__exception_flag,0.00915010
win__exception_flag__last,0.00915010
win__exception_flag__delta,0.00915010
cur__failure_streak,-0.00820973
win__failure_streak__last,-0.00820973
win__failure_streak__std,-0.00815233
win__output_elided_chars__max,0.00814499
win__returncode__mean,-0.00758978
win__output_elided_chars__std,0.00672209
cur__obs__cmd_error,0.00669046
cur__returncode,-0.00637351
win__returncode__last,-0.00637351
win__output_elided_chars__mean,0.00636211
cur__output_len,0.00618919
win__output_len__last,0.00618919
win__obs_frac__syntax_error,-0.00449618
cur__repeat_cmd_score_recent,0.00403205
win__repeat_cmd_score_recent__last,0.00403205
win__repeat_cmd_score_recent__delta,0.00403205
win__failure_streak__max,0.00271747
cur__cmd__install,-0.00206242
win__returncode__std,0.00193570
cur__temperature,0.00150008
win__cmd_frac__edit,-0.00109610
win__exception_flag__min,0.00000000
win__output_elided_chars__min,0.00000000
win__repeat_cmd_score_recent__min,0.00000000
win__repeat_file_score_recent__min,0.00000000
win__failure_streak__min,0.00000000
cur__cmd__unknown,0.00000000
cur__obs__unknown,0.00000000
win__cmd_frac__unknown,0.00000000
win__obs_frac__unknown,0.00000000
