feature,weight
win__confidence__mean,0.97807126
win__confidence__std,0.68615989
cur__target_has_value,0.51776881
win__context_len_cum__std,-0.50325985
win__cmd_frac__diff,0.48348896
win__target_missing__delta,0.45863341
win__target_missing__mean,-0.43013687
win__step_wall_s__std,-0.42575988
win__completion_tokens__mean,-0.41601533
win__output_len__delta,0.41035399
cur__prompt_tokens_cum,-0.40936787
win__unique_target_ratio,-0.38855304
win__step_wall_s__max,0.38285028
win__prompt_tokens__std,0.37501102
win__prompt_tokens__last,-0.34248869
cur__prompt_tokens,-0.34248869
win__prompt_tokens__max,-0.34248869
win__prompt_tokens__delta,-0.33751189
win__context_len_cum__delta,0.33722809
win__cmd_frac__test,0.32994782
win__returncode_nonzero__delta,0.31486385
win__step_wall_s__mean,0.31284475
cur__context_len_cum,0.29504107
win__context_len_cum__last,0.29504107
win__context_len_cum__max,0.29504107
win__confidence_missing__max,0.28430062
cur__completion_tokens_cum,0.27971298
win__output_len__std,0.25261323
win__failure_streak__delta,0.22960035
win__completion_tokens__max,0.22614308
win__repeat_cmd_score_recent__std,0.21710260
win__returncode__max,-0.21664270
window_len,-0.20631210
window_fill_ratio,-0.20631210
cur__step_idx,-0.20597702
win__returncode__mean,0.19261545
win__cmd_frac__other,-0.19006297
win__returncode__delta,0.18936819
win__completion_tokens__std,0.18350834
win__context_len_cum__mean,-0.17252996
win__cmd_frac__search,-0.17190306
cur__cmd__edit,0.16767469
cur__output_len,-0.16147114
win__output_len__last,-0.16147114
cur__target_is_abs_like,-0.15589468
win__step_wall_s__delta,-0.15422836
win__consecutive_same_target_ratio,-0.14903416
win__context_len_cum__min,-0.14718769
cur__returncode,-0.14068777
win__returncode__last,-0.14068777
win__failure_streak__std,-0.14061187
win__confidence__min,0.13242859
win__failure_streak__last,-0.12724943
cur__failure_streak,-0.12724943
cur__obs__exception,-0.12144936
win__obs_frac__other_error,-0.11449192
win__output_elided_chars__max,-0.10503454
cur__cmd__run,-0.10318657
win__exception_flag__mean,-0.10156759
win__cmd_frac__run,0.09963936
win__repeat_cmd_score_recent__mean,-0.09692056
win__cmd_frac__edit,0.09522061
cur__obs__success,0.09420336
win__prompt_tokens__min,-0.09169226
win__returncode_nonzero__max,-0.09095854
win__repeat_file_score_recent__std,-0.08873166
win__failure_streak__mean,0.08781765
cur__target_symbol_like,-0.08437151
cur__cmd__read,-0.08249603
cur__depth,-0.08138421
cur__target_has_py,-0.08051936
win__obs_frac__syntax_error,0.08051216
win__repeat_file_score_recent__mean,-0.07955748
win__confidence_missing__mean,-0.07621819
win__repeat_cmd_score_recent__max,-0.07500574
cur__target_dot_count,-0.07458163
win__prompt_tokens__mean,-0.07332080
cur__target_has_test,0.06809731
win__obs_switch_ratio,-0.06784232
win__cmd_frac__install,0.06443348
cur__step_wall_s,0.06330946
win__step_wall_s__last,0.06330946
win__output_elided_chars__std,-0.06136141
win__cmd_frac__read,-0.05976905
win__confidence__max,0.05855243
win__confidence__delta,0.05762056
cur__cmd__other,-0.05632389
cur__obs__other_error,-0.05069218
cur__target_path_depth,-0.04990047
cur__confidence,0.04840143
win__confidence__last,0.04840143
win__completion_tokens__min,-0.04472005
cur__cmd__test,0.04362754
win__output_len__max,-0.03901355
win__returncode__min,-0.03818704
win__exception_flag__max,0.03818704
win__command_switch_ratio,0.03757165
cur__target_len,-0.03574161
win__failure_streak__max,0.03424702
cur__obs__cmd_error,0.03288418
win__completion_tokens__delta,-0.03208119
win__exception_flag__std,0.03159541
win__output_len__min,0.03128554
win__obs_frac__cmd_error,0.02976336
win__step_wall_s__min,0.02772247
cur__cmd__diff,0.02677221
cur__obs__test_fail,-0.02198679
win__returncode__std,0.02141744
win__returncode_nonzero__mean,-0.02021630
win__obs_frac__success,0.02021630
win__confidence_missing__delta,0.01818815
cur__confidence_missing,0.01818815
win__exception_flag__last,0.01796668
win__exception_flag__delta,0.01796668
cur__exception_flag,0.01796668
win__obs_frac__exception,0.01445221
win__repeat_file_score_recent__max,0.01403089
cur__output_elided_chars,0.01390548
win__output_elided_chars__last,0.01390548
win__output_elided_chars__delta,0.01390548
cur__completion_tokens,0.01386872
win__completion_tokens__last,0.01386872
cur__repeat_file_score_recent,-0.01286634
win__repeat_file_score_recent__last,-0.01286634
win__repeat_file_score_recent__delta,-0.01286634
cur__cmd__install,0.01133319
win__cmd_frac__explore,-0.00963506
cur__cmd__search,-0.00754120
win__output_elided_chars__mean,0.00685214
win__output_len__mean,-0.00509174
cur__obs__syntax_error,-0.00409315
cur__target_has_init,0.00400412
cur__repeat_cmd_score_recent,-0.00277425
win__repeat_cmd_score_recent__last,-0.00277425
win__repeat_cmd_score_recent__delta,-0.00277425
cur__cmd__explore,-0.00236506
win__obs_frac__test_fail,-0.00229150
cur__temperature,0.00000003
win__exception_flag__min,0.00000000
win__output_elided_chars__min,0.00000000
win__repeat_cmd_score_recent__min,0.00000000
win__repeat_file_score_recent__min,0.00000000
win__failure_streak__min,0.00000000
win__target_missing__max,0.00000000
cur__cmd__unknown,0.00000000
cur__obs__unknown,0.00000000
win__cmd_frac__unknown,0.00000000
win__obs_frac__unknown,0.00000000
